slug,title,kaggle_url,is_private,language,kernel_type,notebook_file,sha256,code_sha256,native_files,kernel_sources,dataset_sources
intergration-of-existing-result-current-bes-f55cca,Intergration of Existing Result(current bes f55cca,https://www.kaggle.com/code/ngyzly/intergration-of-existing-result-current-bes-f55cca,true,python,notebook,notebooks/intergration-of-existing-result-current-bes-f55cca/intergration-of-existing-result-current-bes-f55cca.ipynb,0592b685d3cf06c46bfce065415420990805d1de4e979e70c7ceae88cd157963,4fbb9615b7b5826810154966fb319ae799ae695e4818fd9687a20e3fe9cc5036,,chistyakov/sa-on-metamodel-from-2-blocks-88-trees;zhangtengfei02/a-bit-better-the-best-open-source-result-for-date;chistyakov/sa-on-metamodel-from-2-blocks-132-trees;;yongsukprasertsuk/santa2025-bbox-optimization;zhangtengfei02/a-super-simple-improvement-strategy;jazivxt/why-not;datafad/new-year-same-old-bbox;learnmore1/santa-subs-agg-score-track-visual-diagnostics;abhishekgodara/fork-of-santa-submission-happy-new-year;datafad/a-single-group-optimizer-by-manoj;roshaw/new-year-same-old-bbox;aikhmelnytskyy/manual-tree-shifter-and-checker-sa;saspav/santa-submission;chistyakov/new-simple-fix-rebuild-large-layout-from-corners;ngyzly/santa-submission-2dbbf9;ngyzly/merging;abhishekgodara/santa-s-tree-packing-score;samyakrajbayar/santa-packing-777;chistyakov/new-simple-fix-rebuild-large-layout-general,
lb-boost-stable-bbox3-sweep-per-group-rotation,LB Boost — Stable bbox3 Sweep + Per-Group Rotation,https://www.kaggle.com/code/ngyzly/lb-boost-stable-bbox3-sweep-per-group-rotation,true,python,notebook,notebooks/lb-boost-stable-bbox3-sweep-per-group-rotation/lb-boost-stable-bbox3-sweep-per-group-rotation.ipynb,03b4453053db9aea939cd7d98f97990bb51fecb05e7c269768e9a50a6de38be9,9e5e18afda203ee80df977b9dcfd29b07ddb63f5115d47697a73f778571cdee2,,,
manual-tree-shifter-and-checker-sa,Manual Tree Shifter and Checker+SA,https://www.kaggle.com/code/ngyzly/manual-tree-shifter-and-checker-sa,true,python,notebook,notebooks/manual-tree-shifter-and-checker-sa/manual-tree-shifter-and-checker-sa.ipynb,6f1bfb8b1f179b544dbd87df4777e317006886ce1c6d07f91066e80b72a996d4,85240f8fcaac59f13c2b03dd02a708bd713b862346f15667268580cded5135d9,,datafad/a-bit-better;daniilkrizhanovskyi/new-year-same-old-bbox;yongsukprasertsuk/santa2025-bbox-optimization;datafad/new-year-same-old-bbox;datafad/a-single-group-optimizer-by-manoj;chistyakov/new-simple-fix-rebuild-large-layout-general;jazivxt/why-not;chistyakov/new-simple-fix-rebuild-large-layout-from-corners;saspav/santa-submission;ngyzly/eazy-optimizer;ngyzly/merging,
manual-tree-shifter-and-checker-sa-b9f2af,Manual Tree Shifter and Checker+SA b9f2af,https://www.kaggle.com/code/ngyzly/manual-tree-shifter-and-checker-sa-b9f2af,true,python,notebook,notebooks/manual-tree-shifter-and-checker-sa-b9f2af/manual-tree-shifter-and-checker-sa-b9f2af.ipynb,e91b785f77f749d3eb08d345d9620ee41c7086abe1976117b4e6e1c2b27f33e9,d20dab308a90a490efaeed97c252abaa61f3389d1be2c1462a7ce9e4dce9b8aa,,datafad/a-bit-better;daniilkrizhanovskyi/new-year-same-old-bbox;yongsukprasertsuk/santa2025-bbox-optimization;datafad/new-year-same-old-bbox;datafad/a-single-group-optimizer-by-manoj;chistyakov/new-simple-fix-rebuild-large-layout-general;chistyakov/new-simple-fix-rebuild-large-layout-from-corners;jazivxt/why-not;ngyzly/merging;saspav/santa-submission,
merging,merging,https://www.kaggle.com/code/ngyzly/merging,true,python,notebook,notebooks/merging/merging.ipynb,8b79b4617632c7e95a6375de11dbe69180b5f8a19c807dd2c22c0051dcbd32f0,11f14b2353c7055df5e171f8420778713768ebe8be76c54db7ed1decf808297e,,ngyzly/fast-sa;datafad/do-we-want-bronze-filled-with-last-24hr-submits;jazivxt/eazy-optimizer;jazivxt/why-not;jazivxt/team-optimization-blend;datafad/fork-of-the-fork;ngyzly/why-not;;hvanphucs112/bbox3-ensemble-update;ngyzly/new-simple-fix-rebuild-large-layout-gene-c3bd9b;ngyzly/fork-of-fast-simulated-annealing-17-top1;ngyzly/a-super-simple-improvement-strategy;ngyzly/santa-submission-4050;nctuan/happy-christmas;saspav/santa-submission;;ngyzly/fork-of-fork-of-fast-simulated-annealing-17-top1;ngyzly/fork-of-fork-of-fork-of-fast-simulated-annealing-1;ngyzly/shake-shake-shake-bf2681;yukimakino/merging-3bcb03;ngyzly/merging,ngyzly/13123123123;ngyzly/24242424;ngyzly/43434343;ngyzly/add-dataset;ngyzly/dasasdasd;ngyzly/dasdadad;ngyzly/dsadasdasdad213123;ngyzly/edited-51;ngyzly/fsdfsfsdfsdf;ngyzly/lzhang-santa2025;ngyzly/new-code;ngyzly/new-optimed;ngyzly/weaweawewaea
merging-3bcb03,merging 3bcb03,https://www.kaggle.com/code/ngyzly/merging-3bcb03,true,python,notebook,notebooks/merging-3bcb03/merging-3bcb03.ipynb,5829f35b304666dfa425f93207875062c76c05feef5830e6bb24dc6f5d82787e,fb853e7812b55e3efbac77e26a892de1ef34e9b98bf1dc20545b7d7db19f5c8e,,ngyzly/fast-sa;opencv411/final-final-final-try;datafad/do-we-want-bronze-filled-with-last-24hr-submits;jazivxt/eazy-optimizer;jazivxt/why-not;jazivxt/team-optimization-blend;datafad/fork-of-the-fork;ngyzly/why-not;;hvanphucs112/bbox3-ensemble-update;ngyzly/new-simple-fix-rebuild-large-layout-gene-c3bd9b;ngyzly/fork-of-fast-simulated-annealing-17-top1;yukimakino/shake-shake-shake-bf2681;ngyzly/a-super-simple-improvement-strategy;ngyzly/santa-submission-4050;ngyzly/shake-shake-shake-bf2681;nctuan/happy-christmas;saspav/santa-submission;ngyzly/merging,;ngyzly/add-dataset;ngyzly/dasdadad;ngyzly/edited-51;ngyzly/lzhang-santa2025;ngyzly/new-code;ngyzly/new-optimed
merging-3bcb03-5c3eb3,merging 3bcb03 5c3eb3,https://www.kaggle.com/code/ngyzly/merging-3bcb03-5c3eb3,true,python,notebook,notebooks/merging-3bcb03-5c3eb3/merging-3bcb03-5c3eb3.ipynb,74912e91d2b9fa066038ec8bb4ee4c443caf6ef5113cd843a74f3317581a4702,4da50d8e01b8666ae9ea4040d1d155a2d73728f099a8787108f44802fe984f31,,ngyzly/fast-sa;opencv411/final-final-final-try;datafad/do-we-want-bronze-filled-with-last-24hr-submits;jazivxt/eazy-optimizer;jazivxt/why-not;jazivxt/team-optimization-blend;datafad/fork-of-the-fork;ngyzly/why-not;;hvanphucs112/bbox3-ensemble-update;ngyzly/new-simple-fix-rebuild-large-layout-gene-c3bd9b;ngyzly/fork-of-fast-simulated-annealing-17-top1;ngyzly/a-super-simple-improvement-strategy;ngyzly/santa-submission-4050;nctuan/happy-christmas;saspav/santa-submission;ngyzly/shake-shake-shake-bf2681;yukimakino/shake-shake-shake-bf2681;ngyzly/merging,;ngyzly/add-dataset;ngyzly/dasdadad;ngyzly/edited-51;ngyzly/lzhang-santa2025;ngyzly/new-code;ngyzly/new-optimed
merging-3bcb03-f4eb54,merging 3bcb03 f4eb54,https://www.kaggle.com/code/ngyzly/merging-3bcb03-f4eb54,true,python,notebook,notebooks/merging-3bcb03-f4eb54/merging-3bcb03-f4eb54.ipynb,ea92f850248724ee39a4e08b10aa7a5960262e5ca504a77c0f51a7592180017c,d1c401a191200140403792864dfec92f2724e5ace34b0997a50c16cd662d3c1a,,ngyzly/fast-sa;opencv411/final-final-final-try;datafad/do-we-want-bronze-filled-with-last-24hr-submits;jazivxt/eazy-optimizer;jazivxt/why-not;jazivxt/team-optimization-blend;datafad/fork-of-the-fork;ngyzly/why-not;;hvanphucs112/bbox3-ensemble-update;ngyzly/new-simple-fix-rebuild-large-layout-gene-c3bd9b;ngyzly/fork-of-fast-simulated-annealing-17-top1;yukimakino/shake-shake-shake-bf2681;ngyzly/a-super-simple-improvement-strategy;ngyzly/santa-submission-4050;nctuan/happy-christmas;saspav/santa-submission;ngyzly/shake-shake-shake-bf2681;yukimakino/merging-3bcb03;ngyzly/merging,;ngyzly/add-dataset;ngyzly/dasdadad;ngyzly/edited-51;ngyzly/lzhang-santa2025;ngyzly/new-code;ngyzly/new-optimed
merging-d4cb2a,merging d4cb2a,https://www.kaggle.com/code/ngyzly/merging-d4cb2a,true,python,notebook,notebooks/merging-d4cb2a/merging-d4cb2a.ipynb,3453c16936fa622c22f42d0c75ce7537550b8ffd649ef25ba22e5a9b3e357378,8abff6478d768cd02fd8338493da3e33f51573178d536d5103cf65aeacba3528,,ashrafulhossenakash/score-70-6281;ngyzly/fast-sa;ngyzly/santa-submission-4050;ngyzly/new-simple-fix-rebuild-large-layout-gene-9bc4ba;balabaskar/new-simple-fix-rebuild-large-layout-check-on-all;jazivxt/why-not;artemevstafyev/tree-layout-from-image;ngyzly/fork-of-santa-submission-41402f-3c1723;artemevstafyev/merge-and-optimise;abhishekgodara/fork-of-santa-tree-challenge;abhishekgodara/santa-tree-challenge;jazivxt/eazy-optimizer;ngyzly/merging;ngyzly/fork-of-fast-simulated-annealing-17-top1;jazivxt/team-optimization-blend;datafad/do-we-want-bronze-filled-with-last-24hr-submits;datafad/fork-of-the-fork;saspav/santa-submission;hossam82/santa-inside-box;chistyakov/shake-shake-shake;datafad/bbox-basic,ngyzly/add-dataset;ngyzly/edited-51;ngyzly/lzhang-santa2025;ngyzly/new-optimed
merging-d4cb2a-4a662f,merging d4cb2a 4a662f,https://www.kaggle.com/code/ngyzly/merging-d4cb2a-4a662f,true,python,notebook,notebooks/merging-d4cb2a-4a662f/merging-d4cb2a-4a662f.ipynb,9e56fe2126ed4db36bf7c65da1abde4cd9eb314b8feb57ed84fdeb8895f3d13c,8abff6478d768cd02fd8338493da3e33f51573178d536d5103cf65aeacba3528,,ashrafulhossenakash/score-70-6281;ngyzly/fast-sa;ngyzly/santa-submission-4050;ngyzly/new-simple-fix-rebuild-large-layout-gene-9bc4ba;balabaskar/new-simple-fix-rebuild-large-layout-check-on-all;artemevstafyev/tree-layout-from-image;ngyzly/fork-of-santa-submission-41402f-3c1723;artemevstafyev/merge-and-optimise;abhishekgodara/fork-of-santa-tree-challenge;abhishekgodara/santa-tree-challenge;ngyzly/merging;ngyzly/fork-of-fast-simulated-annealing-17-top1;yukimakino/sparrow-n-v2;hossam82/santa-inside-box;chistyakov/shake-shake-shake;saspav/santa-submission;jazivxt/eazy-optimizer;datafad/do-we-want-bronze-filled-with-last-24hr-submits;datafad/bbox-basic;datafad/fork-of-the-fork;jazivxt/team-optimization-blend;jazivxt/why-not,ngyzly/add-dataset;ngyzly/edited-51;ngyzly/lzhang-santa2025;ngyzly/new-optimed
